🧪 Evaluation Results:
Input: きみにちょっとしたものをもってきたよ。 | Target: きみにちょっとしたものをもってきたよ。 | Predicted: きみにちょっとしたものをもってきたよ。 | CER: 0.00
Input: 何かしてみましょう。 | Target: なんかしてみましょう。 | Predicted: すかしてみましょう。 | CER: 0.18
Input: 私は眠らなければなりません。 | Target: わたくしはねむらなければなりません。 | Predicted: ダはせらなければなりません。 | CER: 0.33
Input: 何してるの？ | Target: なんしてるの？ | Predicted: いしてるの？ | CER: 0.29
Input: 今日は６月１８日で、ムーリエルの誕生日です！ | Target: きょうは６がつ１８かで、ムーリエルのたんじょうびです！ | Predicted: なひは６ロ１８ダで、ムーリエルの…るひだす！ | CER: 0.48
Input: お誕生日おめでとうムーリエル！ | Target: おたんじょうびおめでとうムーリエル！ | Predicted: おねみひおめでとうムーリエル！ | CER: 0.33
Input: ムーリエルは２０歳になりました。 | Target: ムーリエルは２０さいになりました。 | Predicted: ムーリエルは２０まになりました。 | CER: 0.12
Input: パスワードは「Muiriel」です。 | Target: パスワードは「Muiriel」です。 | Predicted: パスワードは「Muiriel」です。 | CER: 0.00
Input: すぐに戻ります。 | Target: すぐにもどります。 | Predicted: すぐにつります。 | CER: 0.22
Input: 知らない。 | Target: しらない。 | Predicted: しらない。 | CER: 0.00
Input: 何と言ったら良いか分かりません。 | Target: なんといったらよいかわかりません。 | Predicted: シやいったらよいかわかりません。 | CER: 0.18
Input: きりがない。 | Target: きりがない。 | Predicted: きりがない。 | CER: 0.00
Input: 何と言ったらいいか・・・。 | Target: なんといったらいいか・・・。 | Predicted: シやいったらいか・かぎ。 | CER: 0.43
Input: こいつは悪いウサギだった。 | Target: こいつはわるいウサギだった。 | Predicted: こいつはどいウサギだった。 | CER: 0.14
Input: 私は山にいました。 | Target: わたくしはやまにいました。 | Predicted: わはやにいました。 | CER: 0.31
Input: それは最近の写真？ | Target: それはさいきんのしゃしん？ | Predicted: それはろかのパま？ | CER: 0.62
Input: 時間があるか分かりません。 | Target: じかんがあるかわかりません。 | Predicted: じまがあるかわかりません。 | CER: 0.14
Input: 先程、どういうわけかマイクが入りませんでした。 | Target: さきほど、どういうわけかマイクがはいりませんでした。 | Predicted: ハそ、どういうわけかマイクがいりませんでした。 | CER: 0.19
Input: この世界の教育にはがっかりしてしまう。 | Target: このせかいのきょういくにはがっかりしてしまう。 | Predicted: このんのた８にはがっかりしてしまう。 | CER: 0.35
Input: 私は一日に100ユーロ稼ぎます。 | Target: わたくしはついたちに100ユーロかせぎます。 | Predicted: わはAひに10てユーロるぎます。 | CER: 0.45
Input: すぐに諦めて昼寝をするかも知れない。 | Target: すぐにあきらめてひるねをするかもしれない。 | Predicted: すぐにうめておねをするかもしれない。 | CER: 0.24
Input: それはあなたが一人になりたくないからです。 | Target: それはあなたがひとりになりたくないからです。 | Predicted: それはあなたがへんになりたくないからです。 | CER: 0.14
Input: そんなことは起きないでしょう。 | Target: そんなことはおきないでしょう。 | Predicted: そんなことはおきないでしょう。 | CER: 0.00
Input: 彼は時々変です。 | Target: かれはときどきへんです。 | Predicted: エはじ」かです。 | CER: 0.67
Input: あなたの勉強を邪魔しないようにします。 | Target: あなたのべんきょうをじゃましないようにします。 | Predicted: あなたのみのをかなしないようにします。 | CER: 0.35
Input: みんなもそうなのかな、と思うことくらいしかできない。 | Target: みんなもそうなのかな、とおもうことくらいしかできない。 | Predicted: みんなもそうなのかな、とそうことくらいしかできない。 | CER: 0.07
Input: 長い目で見れば違ってくると思います。 | Target: ながいめでみればちがってくるとおもいます。 | Predicted: びいめでみればじってくるとこいます。 | CER: 0.29
Input: 心配しないで。 | Target: しんぱいしないで。 | Predicted: へたしないで。 | CER: 0.44
Input: 会えなくて淋しい。 | Target: あえなくてさびしい。 | Predicted: あえなくてほしい。 | CER: 0.20
Input: 明日帰ったら電話します。 | Target: あすかえったらでんわします。 | Predicted: あすばったら２わします。 | CER: 0.29
Input: 私はいつも不思議な性格の方が好きだった。 | Target: わたくしはいつもふしぎなせいかくのほうがすきだった。 | Predicted: ワはいつもふしぎなんでのザがすきだった。 | CER: 0.38
Input: 眠った方がいいよ。 | Target: ねむったほうがいいよ。 | Predicted: せったがいよ。 | CER: 0.45
Input: 行くよ。 | Target: いくよ。 | Predicted: いくよ。 | CER: 0.00
Input: 私は彼らにチケットをもう一枚送ってくれるように頼んだ。 | Target: わたくしはかれらにチケットをもういちまいおくってくれるようにたのんだ。 | Predicted: すはみらにチケットをもうらｅやってくれるようにぎんだ。 | CER: 0.40
Input: 君は僕にとてもいらいらしている。 | Target: きみはぼくにとてもいらいらしている。 | Predicted: きはえにとてもいらいらしている。 | CER: 0.17
Input: 私はそんな風には生きられない。 | Target: わたくしはそんなかぜにはいきられない。 | Predicted: ワはそんなぜにはいきられない。 | CER: 0.26
Input: 私は一時期、天体物理学者になりたかった。 | Target: わたくしはいちじき、てんたいぶつりがくしゃになりたかった。 | Predicted: ワは７じき、ろさにりかさになりたかった。 | CER: 0.55
Input: 生物学は好きになれません。 | Target: せいぶつがくはすきになれません。 | Predicted: きてぼはすきになれません。 | CER: 0.38
Input: 僕が最後に自分の考えを伝えた人は、僕を気違いだと思ったようだ。 | Target: ぼくがさいごにじぶんのかんがえをつたえたひとは、ぼくをきちがいだとおもったようだ。 | Predicted: へがうごにろわのぎえをほえためは、ふをきひいだとしったようだ。 | CER: 0.49
Input: 残念ながらそれは本当なのです。 | Target: ざんねんながらそれはほんとうなのです。 | Predicted: 、ヨながらそれは2ヨなのです。 | CER: 0.42
Input: 大抵の人は僕を気違いだと思っている。 | Target: たいていのひとはぼくをきちがいだとおもっている。 | Predicted: うやのズはふをきひいだとしっている。 | CER: 0.50
Input: 私は違います。あなたです。 | Target: わたくしはちがいます。あなたです。 | Predicted: じはせいます。あなたです。 | CER: 0.35
Input: それは私の台詞だよ！ | Target: それはわたくしのせりふだよ！ | Predicted: それはすのへコだよ！ | CER: 0.50
Input: 彼は私を蹴っています！ | Target: かれはわたくしをけっています！ | Predicted: なはてをけっています！ | CER: 0.40
